Customer_Id,Age,Monthly_Income,Credit_Score,Credit_Score_Band,Loan_Amount,Interest_Rate,Loan_Term,Loan_Type,Debt_Income,Repayment_Status,Transaction_Id,Gender,Transaction_Amount,Transaction_Type,Transaction_Date,Transaction_Year,Transaction_Month,Product_Id,Product_Name,Interaction_Date,Interaction_Year,Interaction_Day_Name,Interaction_Type,Transaction_Frequency
C069,37,164694.21,463,Poor,200268.37,5.06,48,Personal,1.2160012789763526,0,58027785-4541-400a-a354-64b24314cc45,Male,1227.14,Withdrawal,2024-05-30,2024,5,P046,Child Education Fund,2024-09-08,2024,Sunday,Purchased,4
C073,70,78253.98,714,Good,725388.57,8.28,12,Mortgage,9.269669989948115,0,0b967667-041b-40cd-9515-aa15bb20a5d4,Male,978.91,Deposit,2024-02-05,2024,2,P023,Long-Term Loan,2024-06-25,2024,Tuesday,Clicked,9
C02,52,41895.86,461,Poor,829183.89,14.93,48,Business,19.791547183898363,1,6857679c-1947-4d0c-bad1-72e2b42761a2,Female,1485.12,Withdrawal,2024-10-15,2024,10,P033,Wealth Management,2024-02-29,2024,Thursday,Purchased,7
C049,54,23871.75,467,Poor,719495.26,8.39,48,Auto,30.14002995172118,0,0aec174b-26d8-4ab2-b60e-56b8d33ccf40,Male,1052.03,Deposit,2024-06-19,2024,6,P014,Certificate of Deposit,2024-05-23,2024,Thursday,Purchased,1
C030,70,112095.28,836,Excellent,694620.82,3.65,36,Personal,6.196699985940532,0,c5ff9fb8-7dcb-414c-899f-cbb47db84917,Female,759.05,Deposit,2024-06-12,2024,6,P029,Small Business Loan,2024-01-09,2024,Tuesday,Clicked,1
C084,61,137095.5,474,Poor,449940.34,4.82,60,Auto,3.2819482769310446,1,2d02759f-4939-4156-b754-15a02bc572c7,Male,375.54,Deposit,2023-12-15,2023,12,P048,Property Investment,2024-06-19,2024,Wednesday,Purchased,9
C017,59,105521.73,664,Fair,623743.94,11.61,12,Education,5.911047326460626,0,37c10aca-ba58-4d65-a595-e7db44ebf56a,Female,926.42,Deposit,2023-12-29,2023,12,P07,Business Loan,2024-04-15,2024,Monday,Clicked,1
C07,52,65707.04,337,Poor,177339.86,5.05,24,Auto,2.6989476317910532,1,cb660a66-86a3-4179-9acb-685e297ba627,Female,25.43,Withdrawal,2024-06-24,2024,6,P033,Wealth Management,2024-03-20,2024,Wednesday,Clicked,10
C055,33,64189.33,684,Good,953951.01,12.36,24,Education,14.861519975360391,0,580e8d71-b4f2-4c05-92fc-50d680d9886e,Female,1304.18,Withdrawal,2024-07-10,2024,7,P045,Pension Plan,2024-04-25,2024,Thursday,Viewed,3
C077,70,135034.38,614,Fair,321642.03,2.46,48,Personal,2.3819269581568783,0,0bd1e50d-8e4e-4d4b-9223-958c05227e9e,Male,1136.98,Deposit,2024-10-19,2024,10,P033,Wealth Management,2024-03-16,2024,Saturday,Clicked,2
C032,40,102999.71,648,Fair,625876.21,7.49,24,Mortgage,6.076485166802896,0,a8258b56-e6e4-42f7-a61e-e4f3df912b97,Male,694.86,Deposit,2024-03-08,2024,3,P025,Medical Loan,2024-09-15,2024,Sunday,Clicked,8
C068,52,101504.54,320,Poor,443501.49,1.67,36,Mortgage,4.369277374194297,1,5574c4b2-17d9-4e71-aabc-7f4d097409fa,Male,1896.43,Withdrawal,2024-12-08,2024,12,P06,Auto Loan,2024-05-31,2024,Friday,Purchased,7
C022,30,65377.75,689,Good,660764.79,14.23,36,Personal,10.106875657238128,0,e3b37756-c005-49d3-a9dc-d572fa5fe453,Female,344.41,Withdrawal,2023-12-26,2023,12,P038,Recurring Deposit,2024-10-30,2024,Wednesday,Viewed,7
C065,66,162764.38,767,Excellent,512523.25,8.35,36,Business,3.1488661708415564,0,2eeeab6e-93f5-45bd-baa9-f4e5d1fb84ef,Male,692.83,Withdrawal,2024-05-02,2024,5,P016,Mortgage Refinance,2024-05-08,2024,Wednesday,Viewed,10
C064,39,73357.34,684,Good,239687.11,10.86,60,Mortgage,3.267390965921065,0,22fb6a58-ed4f-41c1-b4a2-76ea2d35ff03,Female,788.25,Deposit,2024-04-29,2024,4,P046,Child Education Fund,2024-11-11,2024,Monday,Viewed,9
C012,44,106619.91,837,Excellent,163050.01,3.09,60,Auto,1.5292641871485355,0,4e64faaf-12e4-418a-ae1d-e8903b9ae0d2,Male,112.19,Deposit,2024-09-03,2024,9,P033,Wealth Management,2024-08-29,2024,Thursday,Clicked,6
C082,46,105077.62,410,Poor,489226.38,2.33,12,Auto,4.655857070230559,0,02b6e090-1ff9-4116-87d4-dafbbceb1733,Male,1978.35,Deposit,2024-07-14,2024,7,P023,Long-Term Loan,2024-04-15,2024,Monday,Clicked,5
C076,19,170765.37,636,Fair,108118.16,11.66,12,Auto,0.6331386744279592,0,1edfe85a-63c1-4f54-bb1e-777c3de9d0dd,Male,1277.35,Withdrawal,2024-03-27,2024,3,P010,Retirement Plan,2024-07-09,2024,Tuesday,Viewed,2
C092,24,49569.5,377,Poor,797517.25,8.62,12,Business,16.088870172182492,1,faa02a90-3860-4ae8-bff1-92e184f15b40,Female,1992.73,Withdrawal,2024-10-13,2024,10,P01,Savings Account,2024-10-21,2024,Monday,Clicked,5
C019,48,39841.77,495,Poor,776007.41,13.93,24,Education,19.477232311717078,1,540aa74e-31fe-46ea-b750-16d6cfde525b,Male,103.09,Withdrawal,2024-06-05,2024,6,P029,Small Business Loan,2024-04-01,2024,Monday,Clicked,3
C043,20,23434.61,678,Good,562248.14,7.07,12,Personal,23.992212373067016,0,c9cf584b-2220-4d27-a931-c374aa6b2414,Male,1129.23,Withdrawal,2024-01-18,2024,1,P04,Personal Loan,2024-11-06,2024,Wednesday,Purchased,10
C089,42,189300.88,790,Excellent,720918.45,4.97,48,Mortgage,3.8083206480603784,0,643ca321-2ca8-4d0c-8ffc-8a5b7ad25d65,Male,443.25,Withdrawal,2024-08-16,2024,8,P011,Insurance Policy,2024-04-25,2024,Thursday,Purchased,2
C072,34,51019.56,846,Excellent,839349.76,8.93,12,Personal,16.451528786214542,0,3a1df39b-5c42-4bde-b11b-439f94621cba,Female,609.81,Withdrawal,2024-05-12,2024,5,P02,Checking Account,2024-07-01,2024,Monday,Purchased,1
C064,27,155271.25,478,Poor,527920.87,7.41,24,Mortgage,3.39999111232762,0,6eb51b1d-aeda-4a6e-b1cd-2c6d2df85631,Female,1294.68,Deposit,2023-12-19,2023,12,P049,Auto Insurance,2023-12-11,2023,Monday,Purchased,9
C035,29,106011.79,336,Poor,516926.88,5.87,60,Personal,4.876126325194585,0,71bbe0b8-ba97-4f23-9139-4cf4f3741bac,Male,1561.85,Withdrawal,2024-10-22,2024,10,P019,Home Improvement Loan,2024-06-08,2024,Saturday,Viewed,2
C021,49,47240.6,679,Good,731482.99,3.46,36,Business,15.484201936469901,0,66446e96-eb65-410f-a882-5f0b6165ce62,Female,140.3,Withdrawal,2024-05-03,2024,5,P042,High-Yield Savings Account,2024-12-09,2024,Monday,Clicked,4
C094,26,20742.21,689,Good,819496.23,8.5,60,Mortgage,39.50862661211124,0,bfee967e-d597-44b2-94c0-a3b709a665e2,Female,513.97,Deposit,2024-03-23,2024,3,P09,Investment Fund,2024-06-03,2024,Monday,Clicked,5
C011,28,170638.92,563,Poor,792341.12,3.67,12,Mortgage,4.6433786617965,0,123f2ce8-b5fc-47be-8833-a9a25c65420b,Male,906.25,Deposit,2024-06-15,2024,6,P044,Insurance Savings,2024-05-09,2024,Thursday,Clicked,4
C047,48,144560.65,324,Poor,800777.75,7.21,48,Mortgage,5.539389522667475,0,018c6dfa-839f-4f97-b928-ed0ef7518c28,Male,186.1,Deposit,2024-08-01,2024,8,P035,Real Estate Investment,2024-04-22,2024,Monday,Clicked,3
C085,50,160999.3,693,Good,821923.32,8.42,24,Personal,5.105135985063289,0,43bd8ffa-4668-47ca-8d62-7d706bf953de,Female,1149.66,Withdrawal,2024-11-17,2024,11,P019,Home Improvement Loan,2024-11-28,2024,Thursday,Viewed,6
C0100,61,95879.5,692,Good,634168.84,14.09,36,Education,6.614227650331927,0,e0d3fb63-3b41-42ab-bbb8-182840a52a3d,Male,471.43,Deposit,2024-06-24,2024,6,P04,Personal Loan,2024-05-28,2024,Tuesday,Clicked,4
C016,37,23198.31,389,Poor,244977.44,13.91,24,Auto,10.560141665492011,1,5e16af48-d3a5-46ba-804a-7790745fd750,Male,1023.92,Deposit,2024-08-29,2024,8,P05,Home Loan,2023-12-22,2023,Friday,Viewed,8
C019,59,100964.58,678,Good,337261.03,9.78,48,Mortgage,3.340389570282965,0,667f7137-d280-4aa9-b10d-93a3cc822dfd,Female,43.18,Deposit,2024-07-20,2024,7,P039,Loan Against Property,2024-10-21,2024,Monday,Purchased,3
C042,25,65616.68,629,Fair,849911.75,14.73,24,Personal,12.95267834337245,0,73d9cdf3-db7c-48aa-b45d-83a14e296092,Female,1432.14,Withdrawal,2024-03-01,2024,3,P046,Child Education Fund,2024-09-06,2024,Friday,Clicked,7
C075,46,143075.17,494,Poor,449684.96,13.23,24,Business,3.1429979080227546,0,07467403-33d2-462a-ba56-c418155bc565,Female,1536.46,Withdrawal,2024-06-04,2024,6,P031,Technology Loan,2024-09-10,2024,Tuesday,Purchased,5
C078,48,171653.72,554,Poor,150579.33,13.42,36,Personal,0.8772273038999678,0,f535e02c-85b7-4ba9-9a68-a75b1090f220,Male,386.27,Withdrawal,2024-08-24,2024,8,P016,Mortgage Refinance,2024-06-01,2024,Saturday,Purchased,7
C029,65,147420.02,714,Good,936959.62,12.83,36,Education,6.3557149157895925,0,e51de331-6b32-4028-9259-639d42665e14,Female,1756.7,Deposit,2024-11-27,2024,11,P042,High-Yield Savings Account,2024-09-05,2024,Thursday,Purchased,9
C064,44,110361.33,434,Poor,677599.21,2.79,60,Auto,6.139824610667523,1,3550da75-6932-43f7-8679-2eb9a136fd41,Male,1364.87,Withdrawal,2024-01-08,2024,1,P030,Agricultural Loan,2024-08-08,2024,Thursday,Clicked,9
C049,34,44255.87,734,Good,969545.67,9.92,48,Personal,21.907730432143804,1,f4c83d40-cace-48e4-aca2-a56943060572,Male,1610.23,Deposit,2024-12-04,2024,12,P018,Auto Refinance,2024-10-22,2024,Tuesday,Viewed,1
C039,56,130531.23,410,Poor,268556.26,6.58,60,Business,2.0574100159785518,0,626b170a-6172-40f7-8892-36f90bf5f9a7,Male,1380.58,Withdrawal,2024-09-13,2024,9,P026,Emergency Loan,2024-07-31,2024,Wednesday,Clicked,6
C028,41,167023.7,308,Poor,381104.95,7.08,12,Business,2.281741752817115,0,18683bc5-2d64-401d-85a4-7633805f330a,Male,1165.49,Deposit,2024-05-19,2024,5,P037,Fixed Deposit,2024-02-19,2024,Monday,Purchased,10
C051,65,164352.24,688,Good,105554.15,7.87,24,Business,0.6422434522340553,0,e189afe5-580f-466d-b35f-fbb54dcee152,Female,718.28,Withdrawal,2024-04-19,2024,4,P01,Savings Account,2024-03-27,2024,Wednesday,Purchased,4
C022,67,119248.28,377,Poor,125378.17,8.06,48,Business,1.0514044311582524,1,6511b13b-1a41-48ad-9f0a-4392ffd32a22,Male,731.68,Deposit,2024-05-08,2024,5,P020,Gold Loan,2024-02-20,2024,Tuesday,Purchased,7
C072,38,138384.22,529,Poor,635285.72,14.04,24,Auto,4.590738163643224,0,23357fde-328b-44ae-a1bf-c788f7dbac82,Male,219.9,Withdrawal,2024-11-25,2024,11,P046,Child Education Fund,2024-08-29,2024,Thursday,Purchased,1
C084,51,39142.19,815,Excellent,413927.17,8.35,48,Personal,10.574961952818684,0,7e40099c-e699-4561-8c17-8ce77ab45bac,Male,1695.55,Withdrawal,2024-10-02,2024,10,P016,Mortgage Refinance,2024-12-08,2024,Sunday,Viewed,9
C055,62,155838.86,644,Fair,435853.66,11.3,48,Education,2.7968226923631243,0,9dd36f5a-e77d-4296-a0dc-107f2e35421f,Female,1285.72,Withdrawal,2024-04-25,2024,4,P042,High-Yield Savings Account,2024-11-11,2024,Monday,Clicked,3
C066,64,70268.04,552,Poor,488068.09,3.52,48,Auto,6.945804806851025,0,803fa88c-f4ca-44a5-a70d-3f037630f300,Female,996.41,Withdrawal,2024-05-17,2024,5,P025,Medical Loan,2024-11-07,2024,Thursday,Viewed,8
C039,63,126257.6,577,Poor,603806.78,12.05,60,Personal,4.782340072993626,0,616e0f9b-0383-4ba4-bb59-2d2f5312f928,Female,1298.45,Deposit,2024-10-27,2024,10,P031,Technology Loan,2024-03-25,2024,Monday,Viewed,6
C036,35,80012.6,327,Poor,758514.74,12.57,60,Business,9.479941159267415,1,305ff372-b8d0-4041-a1f0-8d5a18e7289d,Male,1084.09,Deposit,2024-05-17,2024,5,P043,Money Market Account,2024-10-30,2024,Wednesday,Viewed,2
C045,69,51970.6,392,Poor,428838.88,5.57,60,Auto,8.251566847409881,1,e2274078-7c4c-4a1f-a654-49000f75bd6e,Female,1384.55,Withdrawal,2024-08-05,2024,8,P044,Insurance Savings,2024-10-23,2024,Wednesday,Viewed,9
C017,44,122818.08,564,Poor,943690.0,11.61,48,Auto,7.683640714787269,0,310ff7ba-1744-4bd7-9047-f27883a7dc44,Female,376.28,Withdrawal,2023-12-25,2023,12,P09,Investment Fund,2024-07-11,2024,Thursday,Clicked,1
C064,64,20571.65,528,Poor,197199.93,2.47,12,Auto,9.58600452564573,1,363a8711-7ef9-4975-8cf8-7b3ab72c7c8d,Female,236.37,Deposit,2024-10-28,2024,10,P042,High-Yield Savings Account,2024-08-07,2024,Wednesday,Purchased,9
C068,67,129381.36,752,Excellent,881301.17,3.04,24,Business,6.811654862802493,0,390f5c35-e345-4984-9bd5-55533ac6a866,Female,395.65,Deposit,2024-09-15,2024,9,P010,Retirement Plan,2024-05-02,2024,Thursday,Purchased,7
C032,22,177694.7,827,Excellent,223850.28,11.0,24,Mortgage,1.2597465202957656,0,e1d78906-98c5-4933-be45-ff1e8bd3bf1e,Female,1775.41,Withdrawal,2024-10-01,2024,10,P017,Business Credit Line,2024-07-01,2024,Monday,Clicked,8
C084,41,178187.69,692,Good,503450.0,5.95,36,Education,2.825391585692592,0,26f52941-900c-41fd-9102-db649295ee61,Male,600.87,Withdrawal,2024-06-09,2024,6,P037,Fixed Deposit,2024-02-27,2024,Tuesday,Clicked,9
C062,34,126778.27,781,Excellent,213034.04,9.3,48,Business,1.6803671480924924,1,6e6e73b2-1f2f-4c4f-acc8-fea28bee2d66,Female,837.19,Deposit,2024-11-19,2024,11,P026,Emergency Loan,2024-07-10,2024,Wednesday,Clicked,7
C043,56,154548.66,392,Poor,875922.64,6.93,48,Education,5.667617176363742,0,cb55c91a-dbf7-432b-928a-ff3deeda2769,Female,628.5,Withdrawal,2024-05-14,2024,5,P028,Debt Consolidation Loan,2023-12-12,2023,Tuesday,Clicked,10
C031,32,54138.43,496,Poor,238722.85,4.49,60,Mortgage,4.409489709989743,0,21cd3294-2765-4270-8420-1f26525fcbfd,Female,1211.78,Withdrawal,2024-07-08,2024,7,P046,Child Education Fund,2024-09-12,2024,Thursday,Clicked,4
C024,50,99952.31,752,Excellent,721188.56,6.08,36,Education,7.215326589250414,0,0b907fe5-db7d-40d4-b9cb-8a916f48e4df,Female,617.85,Deposit,2024-05-30,2024,5,P049,Auto Insurance,2024-01-14,2024,Sunday,Viewed,8
C019,32,158847.38,336,Poor,738669.49,13.62,12,Business,4.650183654272421,0,52f04bdb-c95f-4d8a-b2a2-6e65cad09e88,Male,1615.06,Deposit,2024-06-18,2024,6,P049,Auto Insurance,2024-07-23,2024,Tuesday,Viewed,3
